,date,year,month,day,estacio,station_name,lat,lon,no2_daily_avg
103,2018-06-25,2018,6,25,54,Barcelona - Vall Hebron,41.4261,2.148,26.304347826086957
104,2018-06-25,2018,6,25,57,Barcelona - Palau Reial,41.3875,2.1151,29.17391304347826
105,2018-06-26,2018,6,26,4,Barcelona - Poblenou,41.4039,2.2045,24.0
106,2018-06-26,2018,6,26,42,Barcelona - Sants,41.3788,2.1331,39.857142857142854
107,2018-06-26,2018,6,26,43,Barcelona - Eixample,41.3853,2.1538,68.20833333333333
108,2018-06-26,2018,6,26,44,Barcelona - Gràcia,41.3987,2.1534,52.875
109,2018-06-26,2018,6,26,50,Barcelona - Ciutadella,41.3864,2.1874,24.208333333333332
110,2018-06-26,2018,6,26,54,Barcelona - Vall Hebron,41.4261,2.148,27.875
111,2018-06-26,2018,6,26,57,Barcelona - Palau Reial,41.3875,2.1151,29.75
112,2018-06-27,2018,6,27,4,Barcelona - Poblenou,41.4039,2.2045,48.833333333333336
113,2018-06-27,2018,6,27,42,Barcelona - Sants,41.3788,2.1331,28.80952380952381
114,2018-06-27,2018,6,27,43,Barcelona - Eixample,41.3853,2.1538,60.833333333333336
115,2018-06-27,2018,6,27,44,Barcelona - Gràcia,41.3987,2.1534,54.54545454545455
116,2018-06-27,2018,6,27,50,Barcelona - Ciutadella,41.3864,2.1874,45.791666666666664
117,2018-06-27,2018,6,27,54,Barcelona - Vall Hebron,41.4261,2.148,26.833333333333332
118,2018-06-27,2018,6,27,57,Barcelona - Palau Reial,41.3875,2.1151,26.041666666666668
119,2018-06-28,2018,6,28,4,Barcelona - Poblenou,41.4039,2.2045,40.833333333333336
120,2018-06-28,2018,6,28,42,Barcelona - Sants,41.3788,2.1331,24.466666666666665
121,2018-06-28,2018,6,28,43,Barcelona - Eixample,41.3853,2.1538,51.9375
122,2018-06-28,2018,6,28,44,Barcelona - Gràcia,41.3987,2.1534,44.142857142857146
123,2018-06-28,2018,6,28,50,Barcelona - Ciutadella,41.3864,2.1874,35.40909090909091
124,2018-06-28,2018,6,28,54,Barcelona - Vall Hebron,41.4261,2.148,24.625
125,2018-06-28,2018,6,28,57,Barcelona - Palau Reial,41.3875,2.1151,25.833333333333332
126,2018-06-29,2018,6,29,4,Barcelona - Poblenou,41.4039,2.2045,35.458333333333336
127,2018-06-29,2018,6,29,42,Barcelona - Sants,41.3788,2.1331,33.26086956521739
128,2018-06-29,2018,6,29,43,Barcelona - Eixample,41.3853,2.1538,62.333333333333336
129,2018-06-29,2018,6,29,44,Barcelona - Gràcia,41.3987,2.1534,48.5
130,2018-06-29,2018,6,29,50,Barcelona - Ciutadella,41.3864,2.1874,29.5
131,2018-06-29,2018,6,29,54,Barcelona - Vall Hebron,41.4261,2.148,22.375
132,2018-06-29,2018,6,29,57,Barcelona - Palau Reial,41.3875,2.1151,27.58823529411765
133,2018-06-30,2018,6,30,4,Barcelona - Poblenou,41.4039,2.2045,20.0
134,2018-06-30,2018,6,30,4,Barcelona - Poblenou,41.4039,2.2045,11.0
135,2018-06-30,2018,6,30,42,Barcelona - Sants,41.3788,2.1331,23.083333333333332
136,2018-06-30,2018,6,30,42,Barcelona - Sants,41.3788,2.1331,16.0
137,2018-06-30,2018,6,30,43,Barcelona - Eixample,41.3853,2.1538,42.708333333333336
138,2018-06-30,2018,6,30,43,Barcelona - Eixample,41.3853,2.1538,45.0
139,2018-06-30,2018,6,30,44,Barcelona - Gràcia,41.3987,2.1534,30.541666666666668
